RegionID,SizeRank,RegionName,StateName,States,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
102001,0,United States,,,74.0,73.0,67,59,53,49,48,49,52,56,59,64
394913,1,"New York, NY",NY,New York,99.0,96.0,86,75,70,70,70,74,78,83,86,91
753899,2,"Los Angeles-Long Beach-Anaheim, CA",CA,California,47.0,44.0,39,34,32,32,34,36,40,42,45,50
394463,3,"Chicago, IL",IL,Illinois,82.0,79.0,65,52,45,43,44,46,50,54,60,68
394514,4,"Dallas-Fort Worth, TX",TX,Texas,61.0,58.0,53,45,40,39,40,43,46,50,54,59
394974,5,"Philadelphia, PA",PA,Pennsylvania,77.0,83.0,78,68,60,56,54,53,54,56,59,64
394692,6,"Houston, TX",TX,Texas,74.0,71.0,66,57,50,47,47,49,53,58,62,66
395209,7,"Washington, DC",DC,Washington DC,67.0,68.0,62,51,45,39,38,37,38,42,46,53
394856,8,"Miami-Fort Lauderdale, FL",FL,Florida,88.0,87.0,82,80,79,80,78,76,76,78,79,81
394347,9,"Atlanta, GA",GA,Georgia,62.0,57.0,50,41,36,34,33,35,37,40,43,47
394404,10,"Boston, MA",MA,Massachusetts,48.0,47.0,40,30,24,22,24,28,30,33,37,43
395057,11,"San Francisco, CA",CA,California,30.0,27.0,23,19,18,19,21,23,25,27,30,36
394532,12,"Detroit, MI",MI,Michigan,55.0,54.0,48,38,30,26,26,28,31,36,41,47
395025,13,"Riverside, CA",CA,California,55.0,52.0,48,44,42,41,41,44,48,51,55,58
394976,14,"Phoenix, AZ",AZ,Arizona,59.0,59.0,57,54,54,51,51,50,49,48,50,53
395078,15,"Seattle, WA",WA,Washington,37.0,33.0,25,18,15,15,17,21,25,31,37,45
394865,16,"Minneapolis-St Paul, MN",MN,Minnesota,63.0,59.0,51,41,36,34,34,36,39,43,49,56
395056,17,"San Diego, CA",CA,California,45.0,42.0,39,36,36,38,41,44,46,48,51,55
395121,18,"St. Louis, MO",MO,Missouri,70.0,70.0,63,54,48,43,41,42,46,50,54,59
395148,19,"Tampa, FL",FL,Florida,57.0,57.0,54,50,46,44,44,45,48,49,49,50
394358,20,"Baltimore, MD",MD,Maryland,74.0,76.0,72,62,55,50,50,49,51,56,59,67
394530,21,"Denver, CO",CO,Colorado,38.0,35.0,28,22,19,19,20,23,28,31,35,41
394982,22,"Pittsburgh, PA",PA,Pennsylvania,98.0,101.0,98,86,75,63,57,54,56,61,64,70
394998,23,"Portland, OR",OR,Oregon,54.0,53.0,45,35,28,26,29,32,38,43,49,55
394458,24,"Charlotte, NC",NC,North Carolina,51.0,49.0,41,35,32,32,33,35,38,39,41,45
395045,25,"Sacramento, CA",CA,California,42.0,40.0,34,28,25,24,26,30,34,38,41,46
395055,26,"San Antonio, TX",TX,Texas,75.0,76.0,73,67,62,58,57,56,57,60,65,68
394943,27,"Orlando, FL",FL,Florida,62.0,59.0,54,46,42,41,41,42,45,48,52,54
394466,28,"Cincinnati, OH",OH,Ohio,60.0,57.0,49,41,34,31,29,31,33,36,40,46
394475,29,"Cleveland, OH",OH,Ohio,86.0,86.0,83,74,66,60,57,57,59,64,67,73
394735,30,"Kansas City, MO",MO,Missouri,60.0,61.0,54,47,39,36,35,36,41,42,45,47
394775,31,"Las Vegas, NV",NV,Nevada,60.0,61.0,58,58,51,43,30,32,34,37,41,45
394492,32,"Columbus, OH",OH,Ohio,43.0,42.0,37,29,23,21,21,22,25,29,33,38
394705,33,"Indianapolis, IN",IN,Indiana,64.0,61.0,56,50,39,32,26,28,31,35,40,46
395059,34,"San Jose, CA",CA,California,24.0,22.0,20,17,16,16,20,23,26,29,32,38
394355,35,"Austin, TX",TX,Texas,61.0,57.0,49,39,34,31,34,38,44,48,52,56
395194,36,"Virginia Beach, VA",VA,Virginia,101.0,104.0,97,88,87,86,82,78,80,87,91,96
394902,37,"Nashville, TN",TN,Tennessee,46.0,43.0,39,35,34,35,36,38,40,43,46,51
395005,38,"Providence, RI",RI,Rhode Island,68.0,67.0,63,55,48,42,41,45,53,55,61,63
394862,39,"Milwaukee, WI",WI,Wisconsin,53.0,52.0,45,37,34,30,31,28,30,32,35,39
394714,40,"Jacksonville, FL",FL,Florida,70.0,66.0,62,58,56,55,54,55,57,60,63,65
394849,41,"Memphis, TN",TN,Tennessee,66.0,67.0,65,53,49,43,46,45,49,49,55,57
394935,42,"Oklahoma City, OK",OK,Oklahoma,67.0,69.0,65,60,59,62,56,58,60,63,66,71
394807,43,"Louisville-Jefferson County, KY",KY,Kentucky,59.0,59.0,49,41,36,35,35,34,36,38,41,50
394669,44,"Hartford, CT",CT,Connecticut,101.0,96.0,88,67,56,46,47,50,54,58,61,71
395022,45,"Richmond, VA",VA,Virginia,68.0,63.0,48,35,34,34,38,39,42,45,50,52
394910,46,"New Orleans, LA",LA,Louisiana,78.0,79.0,74,70,67,68,67,67,64,65,65,69
394425,47,"Buffalo, NY",NY,New York,64.0,66.0,58,47,38,34,32,33,37,42,47,52
395012,48,"Raleigh, NC",NC,North Carolina,46.0,42.0,35,28,26,25,26,29,31,33,34,37
394388,49,"Birmingham, AL",AL,Alabama,78.0,73.0,67,56,49,47,45,47,49,52,54,56
395053,50,"Salt Lake City, UT",UT,Utah,46.0,41.0,34,24,23,22,24,25,27,29,34,40
395031,51,"Rochester, NY",NY,New York,70.0,67.0,62,50,43,36,37,38,43,47,50,56
394640,52,"Grand Rapids, MI",MI,Michigan,48.0,47.0,41,34,28,25,23,24,30,32,34,35
395167,53,"Tucson, AZ",AZ,Arizona,61.0,60.0,57,52,48,46,44,43,41,41,41,44
395169,55,"Tulsa, OK",OK,Oklahoma,89.0,88.0,83,77,71,66,64,65,69,71,76,85
394619,56,"Fresno, CA",CA,California,41.0,40.0,38,33,31,31,34,33,35,35,43,48
395238,57,"Worcester, MA",MA,Massachusetts,58.0,56.0,52,41,32,28,27,30,34,38,42,54
394415,58,"Stamford, CT",CT,Connecticut,119.0,99.0,101,78,64,59,61,66,69,73,79,87
394312,59,"Albuquerque, NM",NM,New Mexico,73.0,72.0,66,56,46,41,42,45,49,52,55,59
394308,60,"Albany, NY",NY,New York,93.0,93.0,84,74,62,55,51,53,56,60,67,75
394938,61,"Omaha, NE",NE,Nebraska,59.0,51.0,37,33,33,34,33,37,39,40,40,42
394908,62,"New Haven, CT",CT,Connecticut,94.0,80.0,93,74,60,52,50,54,59,65,67,72
394357,63,"Bakersfield, CA",CA,California,72.0,69.0,61,54,49,47,46,47,47,50,55,61
394753,64,"Knoxville, TN",TN,Tennessee,78.0,79.0,72,63,57,52,49,49,51,53,56,59
394653,65,"Greenville, SC",SC,South Carolina,63.0,64.0,59,52,43,39,38,39,42,46,50,57
394952,66,"Ventura, CA",CA,California,49.0,46.0,40,35,34,35,36,39,43,46,51,54
394318,67,"Allentown, PA",PA,Pennsylvania,89.0,91.0,86,84,69,71,70,76,77,77,82,92
394561,68,"El Paso, TX",TX,Texas,105.0,98.0,97,96,91,89,80,80,78,80,80,84
394367,69,"Baton Rouge, LA",LA,Louisiana,73.0,79.0,68,70,76,80,68,56,49,50,58,74
394521,70,"Dayton, OH",OH,Ohio,60.0,60.0,53,47,39,34,32,34,37,39,43,51
394843,71,"McAllen, TX",TX,Texas,91.0,89.0,100,108,99,90,83,93,101,95,87,81
394486,72,"Columbia, SC",SC,South Carolina,91.0,92.0,78,77,75,75,58,60,69,86,84,91
394648,73,"Greensboro, NC",NC,North Carolina,91.0,95.0,94,91,77,66,58,54,55,53,53,54
394304,74,"Akron, OH",OH,Ohio,83.0,83.0,79,74,67,61,57,54,57,58,64,70
753906,75,"North Port-Sarasota-Bradenton, FL",FL,Florida,86.0,88.0,88,87,85,84,83,83,80,78,80,81
394798,76,"Little Rock, AR",AR,Arkansas,80.0,86.0,95,76,69,63,66,64,69,69,76,80
395134,77,"Stockton, CA",CA,California,40.0,37.0,32,27,26,26,27,29,31,33,37,44
394457,78,"Charleston, SC",SC,South Carolina,70.0,68.0,63,57,55,52,52,55,59,63,65,67
395143,79,"Syracuse, NY",NY,New York,97.0,102.0,99,91,79,67,62,60,69,76,82,81
394484,80,"Colorado Springs, CO",CO,Colorado,43.0,40.0,36,29,25,21,22,26,30,35,36,41
395235,81,"Winston-Salem, NC",NC,North Carolina,91.0,94.0,93,83,74,67,62,60,56,55,59,65
395224,82,"Wichita, KS",KS,Kansas,71.0,77.0,72,68,57,49,46,48,51,50,51,55
395115,83,"Springfield, MA",MA,Massachusetts,71.0,68.0,63,54,46,39,37,41,46,50,51,53
394440,84,"Fort Myers, FL",FL,Florida,91.0,89.0,87,87,88,87,87,86,87,86,86,86
394399,85,"Boise City, ID",ID,Idaho,52.0,53.0,48,37,30,26,26,25,28,31,33,38
395160,86,"Toledo, OH",OH,Ohio,74.0,75.0,72,63,52,43,39,40,43,47,52,62
394816,87,"Madison, WI",WI,Wisconsin,79.0,77.0,67,59,52,51,48,50,53,61,67,78
394766,88,"Lakeland, FL",FL,Florida,69.0,61.0,59,53,50,49,47,46,42,42,42,49
394931,89,"Ogden, UT",UT,Utah,42.0,41.0,37,27,25,24,23,23,26,30,35,38
394528,90,"Daytona Beach, FL",FL,Florida,73.0,73.0,69,63,58,60,59,65,73,81,78,73
394531,91,"Des Moines, IA",IA,Iowa,68.0,65.0,61,52,46,44,44,45,45,47,50,59
394711,92,"Jackson, MS",MS,Mississippi,86.0,88.0,86,80,74,69,66,65,68,70,77,81
394352,94,"Augusta, GA",GA,Georgia,83.0,84.0,69,54,50,46,42,51,57,61,58,63
394666,96,"Harrisburg, PA",PA,Pennsylvania,79.0,81.0,73,61,51,46,43,42,44,47,51,55
395006,100,"Provo, UT",UT,Utah,50.0,48.0,41,34,33,28,28,28,32,32,36,38
394549,104,"Durham, NC",NC,North Carolina,52.0,49.0,39,30,27,28,30,31,33,35,39,45
394995,119,"Port St. Lucie, FL",FL,Florida,85.0,83.0,82,78,78,77,78,75,73,73,71,71
395183,124,"Vallejo, CA",CA,California,36.0,34.0,31,25,25,25,26,28,32,36,40,44
394746,128,"Killeen, TX",TX,Texas,71.0,71.0,61,53,48,41,40,41,45,50,90,90
395048,132,"Salem, OR",OR,Oregon,56.0,53.0,45,37,33,32,34,35,36,37,43,53
394927,149,"Ocala, FL",FL,Florida,85.0,85.0,82,79,72,70,67,69,68,69,68,69
394602,159,"Fort Collins, CO",CO,Colorado,62.0,61.0,55,45,38,35,34,36,42,50,59,63
394405,162,"Boulder, CO",CO,Colorado,64.0,57.0,45,31,26,26,29,34,39,45,53,61
394471,172,"Clarksville, TN",TN,Tennessee,74.0,77.0,73,66,55,48,46,43,46,46,53,56
394645,177,"Greeley, CO",CO,Colorado,46.0,49.0,43,37,29,27,28,32,36,42,46,52
394813,189,"Macon-Bibb County, GA",GA,Georgia,102.0,89.0,86,77,74,66,59,63,61,63,62,66
394346,220,"Athens, GA",GA,Georgia,96.0,88.0,65,54,58,60,58,56,59,66,71,82
394623,229,"Gainesville, GA",GA,Georgia,82.0,78.0,70,58,53,48,48,55,58,63,61,64
395246,244,"Yuba City, CA",CA,California,51.0,55.0,50,40,32,29,30,32,37,41,45,44
395009,251,"Punta Gorda, FL",FL,Florida,68.0,71.0,73,72,70,74,76,79,73,73,68,68
395007,253,"Pueblo, CO",CO,Colorado,52.0,64.0,62,60,48,45,46,45,53,51,62,82
395094,331,"Sherman, TX",TX,Texas,64.0,59.0,58,46,55,65,55,42,31,42,52,61
394546,343,"Dunn, NC",NC,North Carolina,106.0,92.0,85,76,67,62,57,59,65,67,69,70
395166,383,"Truckee, CA",CA,California,87.0,85.0,64,57,47,45,41,45,49,60,69,68
395153,399,"The Villages, FL",FL,Florida,60.0,70.0,76,66,52,42,48,56,60,65,56,54
394586,504,"Faribault, MN",MN,Minnesota,,,102,93,69,56,28,32,38,50,59,66
394309,527,"Albemarle, NC",NC,North Carolina,77.0,80.0,76,64,55,54,52,50,45,46,49,76
394742,595,"Kerrville, TX",TX,Texas,109.0,103.0,129,131,140,110,89,69,74,68,70,72
395230,672,"Wilmington, OH",OH,Ohio,,62.0,62,49,35,24,22,23,27,31,39,47
